"Word","Freq"
"babysit",1
"doctor",52
"crimin",7
"medicin",5
"shoot",1
"health",15
"healthi",3
"mental",8
"physic",11
"effect",1
"hurt",162
"love",157
"protect",18
"depress",7
"pain",87
"danger",24
"hostil",1
"person",1
"violenc",25
"wrong",6
"care",30
"abus",49
"accid",5
"brother",1
"caregiv",3
"father",7
"hospit",81
"mother",26
"relationship",6
"scare",6
"sister",1
"spous",1
"terrifi",1
"injur",9
"sick",5
"treat",7
"mom",13
"blood",11
"crime",3
"friend",18
"troubl",2
"thought",6
"aid",16
"destruct",4
"safe",11
"concern",7
"damag",8
"kind",32
"nice",17
"child",7
"cruel",11
"daycar",3
"mean",30
"nanni",2
"parent",30
"vengeanc",1
"heart",10
"bad",16
"pretti",1
"rude",3
"scari",1
"smile",1
"compass",13
"anim",8
"famili",25
"friendship",4
"injuri",20
"comfort",21
"cut",12
"selflov",1
"ouch",3
"good",10
"hate",18
"nurs",50
"peopl",13
"jail",1
"pleasur",2
"destroy",4
"heal",9
"emot",15
"feel",8
"hit",11
"hug",10
"elder",4
"palliat",1
"wound",13
"genuin",1
"help",41
"knife",9
"shampoo",1
"soap",1
"affect",9
"bruis",11
"distrust",3
"loyalti",2
"bother",1
"eas",1
"subjug",1
"gerryn",1
"passion",2
"tear",3
"attent",5
"home",9
"nurtur",20
"word",3
"drug",6
"healthcar",4
"substanc",1
"violent",4
"band",7
"relief",3
"surgeri",1
"weapon",8
"distress",1
"wellb",2
"beat",10
"children",10
"eye",1
"gift",1
"respect",7
"hindranc",1
"progress",1
"better",1
"coddl",2
"wors",1
"gun",12
"knive",2
"scratch",2
"neglect",6
"sad",8
"anger",8
"compassion",1
"generous",1
"murder",13
"veng",1
"happi",6
"intent",3
"trust",8
"unintent",1
"aggress",1
"fix",4
"gentl",8
"harm",25
"mend",2
"power",1
"purpos",2
"taker",1
"empathi",4
"clean",1
"kill",6
"maintain",1
"shelter",2
"bulli",6
"mainten",1
"threaten",1
"time",1
"suicid",11
"rehabilit",1
"self",12
"put",1
"terribl",3
"warm",4
"evil",5
"sympathet",1
"careless",4
"give",3
"cuddl",3
"fear",10
"despair",1
"right",3
"riski",1
"war",6
"discrimin",1
"insult",3
"selfesteem",1
"selfrespect",1
"robberi",1
"clinic",2
"hatr",4
"terrorist",1
"accident",1
"fragil",1
"attack",5
"brutal",1
"victim",3
"owe",1
"save",4
"scar",3
"carealway",1
"harmrough",1
"take",1
"discomfort",2
"safeti",7
"warmth",5
"bed",2
"church",1
"haven",1
"hous",2
"babi",4
"death",4
"hold",1
"kick",4
"kiss",3
"punch",4
"sword",1
"chariti",1
"respons",6
"anxieti",1
"nourish",3
"prais",1
"punish",1
"pet",6
"fire",6
"selfless",3
"assist",3
"fine",1
"line",1
"medic",4
"profession",1
"two",1
"judgment",1
"old",2
"women",1
"tender",4
"foul",1
"cri",3
"giver",2
"test",1
