Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q24,Q25,Q26,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q10,Q11,Q12,Q13,Q14,Q15_1,Q23,Q16,Q17,Q18
1824,1,9/16/14 16:23,R_1SQmAYUx0KVExUx,,,,,,,2,,,"I feel as though sometimes as much as they try to promote recycling, clean energy and other things, many other businesses and companies do not take the time to recycle as well. We are in an age where this is a good way to move forward into the future and create a cleaner more sustainable planet. The short term gain does not outweigh the long term effect. It may for the individual in some cases but to consider the effects it has will definitely increase the awareness of most people. I tend to forget about recycling myself but I really wish that more people were aware of ways to recycle and it was much more of a common practice. The government in my hometown of Baton Rouge, LA is a place that does get ample opportunity to recycle but I'm not sure if the city follows through on their end or not. I really hope that they do because it basically a promise they have made to themselves and most importantly its citizens. It?s their responsibility to provide a safe and clean environment for its inhabitants and they should be doing absolutely whatever it takes to do so. Recycling and clean energy could change the world. Without a clean world we could not live much longer than we do and at some point our society will start to fall out and many things in our eco-environment would start to go absolutely wrong. We cannot allow it do so and let our planet become a huge dumpster. It may not be an extremely fast process of cleaning up the planet but at least attempting to do something could definitely change the game into the future if the awareness and action continued to increase. ",4,4,5,6,5,6,5,4,4,4,1,4,3,3,1,4,5,5,6,4,3,2,4,3,4,3,3,4,3,1,1,19,2,30,Christian,5,3,Construction Management,1,3
711,1,9/16/14 18:57,R_bOVDGMZZQvrbksR,,,,,,,2,"In my opinion, we, as humans have different ideas based on our upbringings. We are influenced on issues by our families, our cultures, our friends, and even social media. My attitude on abortion, is my attitude on life as well. There is a reason for everything, may it be the way the sun sets and rises, the way we perceive the things around us, and the reasons behind the choices that we make. I would never condone someone to go through an abortion unless it was absolutely necessary. I feel that if someone is making that decision, that is their own, and not something I should put my own opinion into. I was raised pro-life, went to catholic school, and that was the firm way to be. I was also taught by those around me, that the life that we live is ours alone. We cannot depend on the choices by others to influence our own. Me personally, I don't think I could ever go through with it unless there was a serious reason to do so. If it was going to kill me, I would weigh all of the pro's and con's and would still have problems making a decision. Life is precious. You never know what you may bring into the world and teach someone... I feel that the lives we live in today are extremely misconstrued and I will never understand the choices people make, I will however always stand by whatever 'their' decision is, because of the way that I was brought up as well. ",,,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,5,6,4,5,3,4,4,4,3,6,3,4,5,3,3,2,23,8,1,prefer not to say,5,3,Business Admin,4,7
2482,1,9/16/14 19:13,R_cSagmJ3W0NBfNAh,,,,,,,2,,,"I believe that recycling is very helpful for the planet and that everyone should try to recycle as much as possible. It helps oceanic animals in a way that they do not get hurt by the toxic waste that gets thrown away through normal garbage and their body parts do not get injured by free floating things in the water. If everyone in the world recycled at least a few items, then it would be a much better place to live and the garbage that keeps piling up would be virtually nonexistent. Using clean energy is best for human's sake as well as plant and animal life. The other means of energy that are used harm humans by having us breathe the toxic air that is filled with fumes, this goes for animals as well. When plants are harmed by the toxicity it can cause them to die, and without plants we wouldn't be able to have oxygen, and without oxygen we wouldn't be able to breathe, in turn that would kill us as a human race. If animals die off because of this toxicity that is occurring in the world now, then we as humans will not get the nutrients from those animals that we need to survive. If large corporations would stop using all of the harmful products that pollute the air and harm our ozone layer, then the world would be a much happier place with fresh, unpolluted air.",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,4,2,6,6,4,2,4,6,2,18,5,8,Christianity,7,1,Business Management,5,6
1875,1,9/17/14 15:01,R_3jAvZRgXsdWo1Df,,,,,,,2,"I think abortion is a topic that has been widely debated in the media recently. I think all womens should have the right of abortion before the fetus is created. When you have a little kid inside your body it is sad to let him die, and lose a life. If a teenager get pregnant and wants to abort, she should do it, just because of her happiness and because she's too young to take care of a child, but if she's decided to go on with it, no problem. The fact is that if, after a few weeks, the fetus has been created and there's a life inside your body, one should not abort and should have thought about that before, not now, in the point of killing a life. Besides this, abortion implies a mental component because you have to be prepared of the fact that some human person would have had the possibility of living a life and you have delete that possibility.All in all, I believe that abortion is a difficult matter that depends on each culture, nation and political issues of each territory. People take different positions in relation to this topic but I really think that it shouldn't be banned, just because people has to live their life happy, and if they want to abort, they should do it, but first, be firm in your decisions and not regret about them.",,,5,3,4,4,5,3,3,2,5,3,3,4,4,5,5,2,3,5,5,5,4,6,6,4,3,2,4,3,4,6,2,18,8,2,cristian,9,3,business,8,8
2445,1,9/17/14 17:49,R_7U78UxX1sqpRNqd,,,,,,,2,,"       I am all for same-sex marriage. I believe that gender does not play a big part in physical and emotional attraction since I am personally demisexual and need to first form an emotional bond with a future partner before committing myself to a relationship. It is very hard for me to be civil to anyone who is aggressively intolerant with non-traditional sexual orientations and actively protests same sex marriage.         Sexuality is a deeply personal experience and the views of people and the society whether religious or moral should not impede on the sexual preference of individuals. I understand why religious sects would frown upon same sex marriage because the system of marriage in most religions is sacred to a man and woman but in this modern society, one can get married in the courthouse. So why have a problem if the ceremony is being held in a state building and not a church? I honestly cannot comprehend why an act of love and commitment should be considered illegal and disgusting when acts of violence demonstrated in war times are revered.        Overall, I want the option to make a lifelong commitment to someone regardless of their gender because it should be my legal right to do so.   ",,5,3,4,5,5,6,3,5,4,4,1,4,3,2,1,4,6,6,4,3,3,4,4,1,5,4,5,2,2,3,2,21,6,50,Agnostic,7,1,Fine Arts with an emphasis in Photography,1,1
1075,1,9/17/14 20:48,R_0BNCvFtxk3j7aoR,,,,,,,2,,,"My attitude toward environmentalism is that it's important. It's an important topic that too often people mock and are quick to dismiss. It's easy to scoff at those who want to protect the environment because the effects on the planet aren't immediately observable; however, I have heard time and time again that our planet is in a dire condition and facing unprecedented damage. I don't believe that it's okay to throw trash wherever you are. I don't believe that cutting down all trees has no consequences for us as humans. And I don't believe that as an intelligent species, we are justified in our gross consumption of what the planet has to offer. In the short time that we have existed, we have hurt the environment more than any other living species in history. I think that it's extremely important for people to be concerned about our environment; so many are willing to take from our planet and convince themselves that Earth will sort things out. But in reality, Earth needs our help. I don't expect everyone to begin recycling or to start planting trees on their property. I simply wish that it was normal for a society to marginalize those that believe we should put into the Earth more than we take out; To simply see those that want a habitable environment for our future generations as people with morals instead of bums. The damage to the Earth is real. The effects may not be as sensationalized as movies like The Day After Tomorrow, but they are serious and need to be addressed.",6,6,6,5,4,5,3,2,2,2,2,3,4,4,1,5,6,2,4,6,2,2,1,1,2,3,4,5,2,2,1,19,8,36,Questioning,4,3,Microbiology,2,3
1338,1,9/17/14 23:10,R_eEsLI5ZnbVQn4Y5,,,,,,,2,"As a fairly liberal person, I tend to have a conflicting view on abortion. I can sympathize with the conservative argument against abortion, but I DO NOT support fully banning it. I think it is senseless to force a woman to have a baby that: 1) they cannot financially support,  or 2) was conceived as a result of rape, or 3) the child has serious deformities and/or endangers the life of the mother. According to a quick Google search, most abortions are performed within the first 12-13 weeks of pregnancy but some states allow up to 24 weeks. I think abortion should be limited to a certain number of weeks into the pregnancy, but I don't know enough about pregnancy to determine just how many weeks it should be. I don't understand how it could take someone six months before they decide that they want an abortion, but I guess it's silly for me to judge without knowing the full circumstances.Abortion wouldn't even be that big of an issue if we just prevented pregnancy in the first place. I remember in the sixth grade that there was an extra credit assignment for signing an ""abstinence agreement."" I thought that was completely absurd at the time and I still do. I think it's silly to campaign for the full removal of abortion without following up with effective sex-ed (not abstinence). ",,,6,6,6,6,6,6,2,3,2,1,2,1,1,1,1,6,6,1,6,6,3,5,1,2,2,1,4,1,1,1,1,18,6,24,Atheist,9,1,Computer Science,6,10
1035,1,9/18/14 7:53,R_bQKC2rIRI1aPMpf,,,,,,,2,,"I believe that same-sex marriage should be allowed for several reasons. Although I am a Christian and there are many religious views against this issue, I believe that we as a society have no right to take someone's freewill away and tell them that they cannot marry the person of their choice based on each person's gender. Everyone should be entitled to make their own choices and I fail to see how allowing same-sex marriage would affect anyone directly and in a negative way. It is not our place to judge someone because of the choices they have made either in their sexuality, the person they choose to marry, or any other aspect of their lives. In the Bible, God allows mankind to have freewill so that they will choose to follow him because they want to. In addition, the most important commandment is about loving God and loving each other. The Bible also states that God is the only judge so we cannot condone another person's actions, whether we believe they are sins or not, because all of us are sinners. With all this in mind, I fail to see how religious viewpoints have any foundation in condemning same-sex marriage. I believe that same-sex marriage should be allowed because everyone is entitled to freewill and equality. No person should judge another simply because they do not hold the same views as that person.",,5,5,5,5,3,5,3,4,4,4,4,5,4,3,5,5,5,4,5,4,3,4,4,2,4,2,3,2,2,4,2,18,8,0,Christian,5,3,Accounting,2,2
46433,1,9/18/14 12:17,R_aXGVEsImq1Qk2C9,,,,,,,2,,,"I feel that sustainability is very important. If we do not maintain our environments natural resources then we will end up degrading and polluting the earth beyond use. I feel that government officials need to try to pass more laws and regulations that will prevent the destruction of our earth. I think the government has some very good rules in place to help us in this mission. Although, I think more practices could be put in place. I also think recycling could be made easier so more people would do it. In the area that I live, we just recently got recycling pickup. Before that we had to go to the recycling center ourselves. I have already noticed we recycle more with this practice in place. I think things like this have a great effect on the amount people will want to help the environment. I also think natural  and ""green"" goods should be reduced in price. If they are so great then why are they so expensive. I have this stance for many reasons, but the main one is the God gave us this planet and it is our responsibility to maintain and respect it so we can ensure a healthy world for future environments. I also feel that 1200 characters is quite a lot for a survey on environmentalism.  ",6,5,5,5,5,6,6,5,6,5,4,5,5,4,6,5,3,6,6,6,4,5,5,2,6,4,4,4,4,5,2,19,8,21,Catholic,5,2,Elementary Education,6,6
498,1,9/18/14 14:32,R_e2IhjXqdvX4pCXb,,,,,,,2,,"I believe same-sex marriage should be legal because it doesn't affect me and people should be able to do what they want if it doesn't affect other people. Other than that, I don't believe marriage is so special like religious people do. I think religious people are the reason why same sex marriage isn't legal and that isn't fair. They get to have free speech and tell us their ideas but other people don't get to do what they want to do. Also, this is a severely beaten dead horse. Legalize same-sex marriage and let's focus on more important things like the legalization of marijuana. This text box should have a character counter because I have no idea how close I am to 1200 characters or how much more I need to write. I don't really have a lot of reasons for why I believe same-sex marriage should be legal. It just should be. Treat other humans like humans and we wouldn't even need to be asking this question. Wow seriously I don't know what else to write. I'm still not at the 1200 character mark and I'm sorry that this isn't exactly what you're looking for but I am not very passionate about this topic because so many other people are and it's not even an issue to me. It should just be legal.",,5,5,6,5,5,6,3,4,4,4,3,4,4,3,1,4,5,3,6,6,4,4,3,2,3,5,3,3,3,2,2,19,8,3,none,9,1,Elementary Education,6,8
