"words","dataset"
"balanc","orig"
"bias","orig"
"constant","orig"
"discrimin","orig"
"equal","orig"
"equat","orig"
"even","orig"
"exclud","orig"
"fair","orig"
"favor","orig"
"honest","orig"
"imparti","orig"
"just","orig"
"justifi","orig"
"prefer","orig"
"prejudic","orig"
"reason","orig"
"right","orig"
"toler","orig"
"balanc","orig"
"balanc","orig"
"balanc","orig"
"bias","orig"
"bias","orig"
"discrimin","orig"
"discrimin","orig"
"discrimin","orig"
"discrimin","orig"
"equal","orig"
"equal","orig"
"equal","orig"
"equat","orig"
"equat","orig"
"equat","orig"
"even","orig"
"even","orig"
"even","orig"
"exclud","orig"
"exclud","orig"
"exclud","orig"
"fair","orig"
"favor","orig"
"favor","orig"
"favor","orig"
"honesti","orig"
"impari","orig"
"justic","orig"
"justifi","orig"
"justifi","orig"
"justifi","orig"
"prefer","orig"
"prefer","orig"
"prefer","orig"
"prejudic","orig"
"prejud","orig"
"prejud","orig"
"reason","orig"
"reason","orig"
"reason","orig"
"right","orig"
"toler","orig"
"toler","orig"
"toler","orig"
"toler","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"school","all_exp1"
"test","all_exp1"
"peopl","all_exp1"
"student","all_exp1"
"studi","all_exp1"
"honest","all_exp1"
"just","all_exp1"
"equal","all_exp1"
"moral","all_exp1"
"wrong","all_exp1"
"relationship","all_exp1"
"boyfriend","all_exp1"
"game","all_exp1"
"marriag","all_exp1"
"rule","all_exp1"
"liar","all_exp1"
"easi","all_exp1"
"bad","all_exp1"
"good","all_exp1"
"right","all_exp1"
"troubl","all_exp1"
"sportsmanship","all_exp1"
"truth","all_exp1"
"honesti","all_exp1"
"dishonesti","all_exp1"
"cheat","all_exp1"
"dishonest","all_exp1"
"fair","all_exp1"
"honor","all_exp1"
"lie","all_exp1"
"grade","all_exp1"
"life","all_exp1"
"care","all_exp1"
"rude","all_exp1"
"integr","all_exp1"
"academ","all_exp1"
"sport","all_exp1"
"loyalti","all_exp1"
"unfair","all_exp1"
"exam","all_exp1"
"justic","all_exp1"
"even","all_exp1"
"judg","all_exp1"
"trust","all_exp1"
"hard","all_exp1"
"homework","all_exp1"
"work","all_exp1"
"girlfriend","all_exp1"
"copi","all_exp1"
"love","all_exp1"
"teacher","all_exp1"
"ethic","all_exp1"
"plagiar","all_exp1"
"law","all_exp1"
"mean","all_exp1"
"steal","all_exp1"
"respect","all_exp1"
"loyal","all_exp1"
"betray","all_exp1"
"hurt","all_exp1"
"competit","all_exp1"
"trustworthi","all_exp1"
"untrustworthi","all_exp1"
"unfaith","all_exp1"
"fail","all_exp1"
"share","all_exp1"
"colleg","all_exp1"
"evil","all_exp1"
"deceiv","all_exp1"
"advantag","all_exp1"
"immor","all_exp1"
"way","all_exp1"
"one","all_exp1"
"lazi","all_exp1"
"steroid","all_exp1"
"lose","all_exp1"
"win","all_exp1"
"wrong","reduce_exp1"
"liar","reduce_exp1"
"justic","reduce_exp1"
"human","reduce_exp2"
"peopl","reduce_exp2"
"unit","reduce_exp2"
"right","reduce_exp2"
"allow","reduce_exp2"
"period","reduce_exp2"
"fight","reduce_exp2"
"throw","reduce_exp2"
"capabl","reduce_exp2"
"common","reduce_exp2"
"religion","reduce_exp2"
"ground","reduce_exp2"
"econom","reduce_exp2"
"speak","reduce_exp2"
"safer","reduce_exp2"
"anim","reduce_exp2"
"effici","reduce_exp2"
