Source,Url,Text
BLAZE,https://www.theblaze.com/news/president-trump-denies-caving-to-democrats-in-deal-to-end-the-government-shutdown,"
        President Trump denies caving to Democrats in deal to end the government shutdown
    Some in the base are not buying itPresident Donald Trump issued a tweet on Friday after outrage ensued from many of his supporters over a deal to end the partial government shutdown without any funding for his border wall.  I wish people would read or listen to my words on the Border Wall,  tweeted the president.  This was in no way a concession.   It was taking care of millions of people who were getting badly hurt by the Shutdown with the understanding that in 21 days,  he added,  if no deal is done, it s off to the races! The president made an announcement from the Rose Garden at the White House Friday that the government shutdown had ended after he agreed to sign on to a continuing resolution to fund the government without any funding for the border wall. Previously, he had tweeted that he would not cave to the Democrats on the issue of border wall funding. On Tuesday he made a case for the border wall and ended it with the promise,  No Cave!  Without a Wall our Country can never have Border or National Security,  he tweeted.  With a powerful Wall or Steel Barrier, Crime Rates (and Drugs) will go substantially down all over the U.S.   The Dems know this but want to play political games,  he added.  Must finally be done correctly. No Cave! But many of his supporters were disappointed that he appeared to hand a political victory to House Speaker Nancy Pelosi (D-Calif.) after facing pressure over the shutdown. Ann Coulter, one of Trump s biggest supporters, called him the biggest  wimp  to ever serve as U.S. president. The partial government shutdown will end after 35 days, the longest such shutdown in U.S. history. The deal allows for federal employees to receive backpay for the period of the shutdown. Here s the latest on the shutdown deal:
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/stunning-new-poll-shows-nancy-pelosi-net-approval-hit-hard-by-government-shutdown,"
        Stunning new poll shows Nancy Pelosi net approval hit hard by government shutdown
    You won t see this reported much in the mainstream mediaWhile much of the media has reported the partial government shutdown as an unmitigated disaster for President Donald Trump, one poll shows that it didn t help House Speaker Nancy Pelosi (D-Calif.) much either. The NBC/Wall Street Journal found that Pelosi had the worst net approval rating among a list of politicians related to the government shutdown. National Journal Editor Josh Kraushaar first noticed the stunning result from the poll published Sunday. Pelosi s negatives shot up during government shutdown more than any pol,  Kraushaar noted,  now the most unpopular politician tested in the survey. In the except he posted, Pelosi registered positively for 28 percent of those polled, and negatively for 47 percent, for a net approval rating of minus-19 percentage points. This was the largest negative net rating, including that of Trump, which was minus-12 points, and Senate Majority Leader Mitch McConnell (R-Ky.) at minus-18 points. Pelosi resisted the president s demands that the Democrats vote for a budget that would include funding for his promised border wall. Eventually the president relented and the partial government shutdown, the longest in U.S. history, ended with an agreement to fund the government for three weeks. Many of the president s supporters have been split on whether the agreement to end the shutdown was a strategic necessity for Trump or simply a failure of negotiation. Here s the latest on the budget battle:
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/ceo-fogegoes-salary-during-shutdown,"
        CEO of cybersecurity company foregoes salary to pay workers during government shutdown
    A wonderful gestureMoe Jafari, CEO of HumanTouch, is foregoing his salary in order to pay the company s workers their wages during the government s partial shutdown. HumanTouch, a cybersecurity company in Tysons Corner, Virginia, depends on government contracts to pay its staff. The cybersecurity and IT firm works to help secure the nation s infrastructure. What are the details? Jafari said that he would not be drawing a salary until the government reopened and HumanTouch staffers began receiving pay again. The partial government shutdown entered its 25th day on Tuesday.  Great people are hard to come by,  Jafari told WUSA-TV on Monday.  We don t want to lose them. The outlet reported that HumanTouch   which works with the Department of Defense   has approximately 20 federal contracts, and more than 200 contracted employees, WUSA reported.Jafari explained that 10 percent of those contracted employees were at risk of losing their pay as a result of the partial government shutdown.  I am foregoing my entire salary during this time period,  Jafari told the outlet.  It affects a lot of people s lives, and that was the right thing to do. Jafari isn t the company s only executive to lend a hand. According to WUSA, 10 other executives at the company will donate a day s pay on a weekly basis   all in order to help subsidize other employees  wages during the shutdown. The company is calling it a  furlough fund.  I don t want the pat on the back. I don t want any of that. That s not the point. Again, this is something that we re doing because it means a lot to us,  Jafari said. WUSA reported that Jafari is simply  challenging other companies to step up to the plate and do the same to pay their employees until the government shutdown is over. 
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/government-shutdown-puts-marriages-on-hold-in-dc,"
        Marriages on hold in DC amid government shutdown   here s why
    DC marriage bureau closedThe partial government shutdown is placing marriages on hold in the nation s capital.Why is this happening? The marriage bureau closed when the shutdown began Dec. 22. Since that day, no one in Washington, D.C., has been able to get a marriage license, according to WJLA-TV.One couple, Dan Pollock and Danielle Geanacopoulos, decided to have their ceremony anyway, after they found out they couldn t get a license, WJLA reported. Geanacopoulos wore her white gown and veil, and Pollock wore his tux during the mock ceremony. They plan to return to the courthouse to make it official once the shutdown ends.The couple are both former Senate staffers who have lived through government shutdowns before, the TV station reported.  It s easy to see the TSA running, police on duty, etc., and not really see that not only are citizens affected, but thousands and thousands of government employees who aren t really sure when the next paycheck will come,  Pollock said.D.C. courts posted an announcement on its website that indicates services are limited.   The Committee on Admissions, Marriage Bureau, Library, and Child Care Center are closed during the government shutdown,  the website states.Is anything being done?Mayor Muriel Bowser said Wednesday evening that she plans to propose emergency legislation that would allow marriage licenses to be issued. Mayor Bowser will put forth emergency legislation to establish the authority to issue marriage licenses during a shutdown,  John Falcicchio, Bowser s chief of staff, told the media.  Just like the Grinch can t steal Christmas, the shutdown can t stop love. 
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/gop-senators-bill-prevent-government-shutdowns,"
        GOP senators introduce legislation to prevent future government shutdowns
    Sen. Mike Lee, who co-sponsored the bill, said that shutdowns  are not a responsible way to govern Nine Republican senators have introduced legislation that would prevent government shutdowns from happening in the future.What are the details?After failing to reach a budget deal, the U.S. government partially shut down on Dec. 22. President Donald Trump has declared that he won t sign any spending bill that does not include funding for a U.S.-Mexico border wall, but so far Congress has refused to comply. On Friday, the shutdown tied with one during the Clinton administration for the longest in U.S. history. Since both the Senate and the House have recessed until Monday, that tie is guaranteed to be broken.On Friday, Sen. Rob Portman (R-Ohio) introduced a bill to prevent shutdowns from ever happening again. It was co-sponsored by GOP Sens. Johnny Isakson (Ga.), John Barrasso (Wyo.), Steve Daines (Mont.), Mike Enzi (Wyo.), Chuck Grassley (Iowa), Mike Lee (Utah), Lisa Murkowski (Alaska), and Jim Risch (Idaho).This legislation would automatically create a continuing resolution, in order to keep the government funded at the same level as it was before the deadline to pass a spending bill. This funding would drop by one percent after 120 days, and then by another one percent every 90 days after that,  until Congress does its job and completes the annual appropriations process.  At that rate, it would take nearly 25 years before the government received absolutely no funding like it is right now.Has this legislation been introduced before?This isn t the first time Portman and Isakson have introduced such legislation. According to Isakson, the two have co-sponsored similar legislation  each Congress since 2012.  Portman also introduced it in 2010 and 2011. Shutdowns are not a responsible way to govern. They create instability and unpredictability not only in our government, but also for the many families and businesses that interact with the federal government,  Lee said in a statement sent by his office to TheBlaze.  Sen. Portman s End Government Shutdowns Act strikes a necessary balance between incentivizing good budgeting habits while discouraging last-minute, haphazard stopgap funding measures. And it provides stability and predictability without allowing Congress to pat ourselves on the back for averting a self-made crisis.  It costs money to shut down the government and it costs more money to reopen it. When the government shuts down, Americans are deprived of essential services and their tax dollars are needlessly wasted,  Grassley said in a news release from his office.  Shutdowns also erode the trust between citizens and their government. This legislation would help ensure that policy stalemates and political interests would no longer get in the way of government s duty to serve the American people. 
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/could-the-white-house-lose-its-water-during-the-shutdown,"
        Could the White House lose its water during the shutdown?
    DC Water also has the option to put a lien on properties of customers who don t pay their bills
	The folks at DC Water   the capital s water authority   said recently that maybe they ll cut off the water to the White House if the shutdown continues to drag on, the New York Post reported.

	In a report Wednesday, the Washington Post revealed that the U.S. Treasury Department emailed DC water  to say that it  will only collect and remit  about $10.5 million of the $16.5 million that federal agencies owe the city water and sewer authority for the second quarter of fiscal year 2019.  The $5 billion shortfall is due to the ongoing partial government shutdown.
	How did DC Water react?

	According to WAMU-FM, the subsequent meeting of the DC Water Board was ... interesting.

	As the station noted, the government is the largest water user in the city. So when your biggest customer doesn t pay its bill, what do you do? That prompted an idea from the DC Water Board Chairman Tommy Wells. From WAMU:

	Now, under the district s law, DC Water is permitted to shut off water to a consumer who doesn t pay for 30 days, as WAMU noted. And residential customers get dinged with a 10 percent fee when their payments are late. Also, if you re more than 60 days late, the authority can put a lien on your place. Would DC Water really put a lien on the White House or cut off its water supply?Nah, it was pretty obvious that this was a joke. But it did lead to some interesting debate, WAMU later reported   including a discussion about the fact that DC Water buys its treated Potomac River water from the feds, via the U.S. Army Corps of Engineers.
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/national-parks-trash-human-feces-government-shutdown,"
        National parks brimming with trash, human feces as government shutdown continues
    Park rangers and other staffers are among the thousands of federal employees furloughed Overflowing garbage cans, human feces, and illegal off-roading are just a few of the problems plaguing some national parks where visitors are taking advantage of the lack of supervision during the partial government shutdown.Park rangers and other staffers are among the more than 380,000 federal employees furloughed during the shutdown that is in its 12th day. The Trump administration has permitted the parks to remain open despite the staff furloughs. Previous administrations have closed the parks during shutdowns, The Associated Press reported.What s the story?Some parks have begun closing certain areas out of public health and safety concerns, according to U.S. News and World Report. Joshua Tree National Park in California closed its campgrounds Wednesday amid health concerns.The National Park Service noted that the pit toilets were near capacity and human waste in public areas was becoming a problem, adding that illegal off-roading and other harmful actions were also causing damage to the park. Yosemite National Park announced that it would also be closing several areas because of  human waste issues and a lack of staffing.  It s a free-for-all,  Dakota Snider, 24, who lives and works in Yosemite Valley, told the AP Monday.  It s so heartbreaking. There is more trash and human waste and disregard for the rules than I ve seen in my four years living here.  Kristen Brengel, vice president of government affairs for the National Parks Conservation Association, told CNN that the absence of supervision seems to have created a sense of  lawlessness  among the parks  visitors.  People are bringing in dogs and drones and there are instances where people aren t following the rules and it is not good for the wildlife and the environment,  she said.Officials at Rocky Mountain National Park in Colorado said Monday they were closing restrooms and locking up trash bins. What else?At some parks, private companies have jumped in to handle some the maintenance normally handled by federal employees. Contractors who operate tours in Yellowstone National Park are grooming trails, hauling garbage, and filling restrooms with toilet paper in an effort to keep their businesses open. It s definitely not our preference   the park service does a good job doing their thing and we hate to see them out of work,  Travis Watt, general manager of See Yellowstone Alpen Guides based in West Yellowstone, Montana, told the AP.  But it s something we can handle. 
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/michigan-grocery-store-offers-free-groceries-to-members-of-coast-guard-impacted-by-government-shutdown,"
        Michigan grocery store offers free groceries to members of Coast Guard impacted by government shutdown
    This is one incredible storeBayside Market in Traverse City, Michigan, has offered free groceries to members of the Coast Guard who have been impacted by the partial government shutdown. The partial government shutdown is now in its 13th day.What are the details? Bayside Market has created an account to make sure that members of the Coast Guard and their families don t go without groceries even if their pay is being held. According to WPBN-TV, all the service member has to do is shop, and show their identification card to receive the free groceries. Dan Summers, who is the food and beverage consultant at the store, said that it s only right that the store protects those service members as they would do the same.  We know they re not getting paychecks right now, but that s not gonna stop them from going out and helping me if I m swimming out there in the freezing waters and screw something up,  Summers explained.  They are there to help us, and we want to be there to help them, too.  Members of the Coast Guard will be able to shop until the fund is depleted. Once it is, service members will be eligible to receive a discount of 25 percent off their grocery orders. What else?WPBN reports that the Coast Guard s legal system forbids its members from accepting money or gift cards that exceed a certain amount. Debra Ankerson, who is an agent to the armed forces for the American Red Cross, told the station that community members can still help.   Buy them a gift card, take them groceries, offer to watch their children, give them diapers or formula,  Ankerson said.  Whatever it takes. That s what we are supposed to do. They are here for us, and we need to be there for them in any way we can ...  
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/give-trump-the-money-for-the-wall,"
         Give Trump the money  for the wall, Democrat says with Senate vote scheduled for this week
     I d give him the whole thing Some Congressional Democrats are coming around to the idea of funding a southern border wall as the partial government shutdown drags on, with Rep. Collin Peterson (D-Minn.) saying Tuesday that Democrats should vote to  Give Trump the money,  according to The Hill. I d give him the whole thing ... and put strings on it so you make sure he puts the wall where it needs to be,  Peterson told KFGO-TV.  Why are we fighting over this? We re going to build that wall anyway, at some time. Peterson expressed concerns about giving President Donald Trump a  blank check,  but said he didn t want to keep the money from him  if he s going to use the money correctly.  He also said Democrats  look at me cross-eyed  when he brings up the idea.Where are we now?There is some hope for an end to the shutdown this week, as Senate Majority Leader Mitch McConnell (R-Ky.) has agreed to hold a vote on two competing funding bills.One bill represents Trump s  offer over the weekend to provide temporary legal protections to Deferred Action for Childhood Arrivals and Temporary Protected Status immigrants in exchange for $5.7 million in wall funding.The other bill is a backup plan, a three-week continuing resolution that would fund the government at current levels and reopen it while border security negotiations continue. For the first time, we will get a vote on whether to open the government without any decision one way or the other on border security,  said Senate Minority Leader Chuck Schumer (D-N.Y.).What s the outlook?It s possible that neither of the bills will pass. Many Democrats view wall funding as a non-starter, putting the passage of Trump s proposal in jeopardy. And a Senate-approved continuing resolution in December died after Trump said he wouldn t support a bill that didn t include wall funding. The votes could be a good indicator of which side has gained the most ground through this extended shutdown.
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
BLAZE,https://www.theblaze.com/news/pelosi-and-schumer-are-angry-that-trump-will-have-his-speech-televised-heres-what-theyre-demanding,"
        Pelosi and Schumer are angry that Trump will have his speech televised   here s what they re demanding
    Now why would they be so upset about this?Democratic leaders are upset that President Donald Trump will receive television coverage for his speech about the government shutdown on Tuesday   and they re making some demands. In a statement released Monday after the president announced he would be giving a speech, House Speaker Nancy Pelosi (D-Calif.) and Senate Minority Leader Chuck Schumer (D-N.Y.) demanded that Democrats be given the same consideration to present counterpoints.  Now that the television networks have decided to air the President s address, which if his past statements are any indication will be full of malice and misinformation, Democrats must immediately be given equal airtime,  they said in the joint statement. Pelosi tweeted the same statement from her social media account:Trump announced that he would speaking about the government shutdown and why there is such a need for a border wall to fend off illegal entry into the country. Pelosi and Schumer have absolutely rejected any insistence from the president and his allies that Congress approve of a budget with border wall funding.  I am pleased to inform you that I will Address the Nation on the Humanitarian and National Security crisis on our Southern Border,  the president tweeted. A senior White House official indicated that the address would take about 7 to 8 minutes. Many on the left were outraged that the major television networks had agreed to give the president airtime.  There s no reason networks should air Trump s latest reality-TV spectacle,  tweeted former Clinton Secretary of Labor Robert Reich. It would just be another opportunity for him to spout lies to the American people, while distracting from the real issue: Trump s complete inability to govern,  Reich added.  Don t fall for it. Former Obama advisor Dan Pfeiffer also registered his anger on Twitter. As long as the legacy media cares more appearing balanced than accurately informing the public,  Pfeiffer said,  Trump and the rest of the Republicans who act in bad faith are going to have a structural political advantage. Here s more about the primetime address:
    
 
    

    
 
    

    
 
    

    
 
    

 
        
        Follow Us
    
     
            
        Follow Us
    "
